Unnamed: 0,id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
302,2100189208,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,sudden entry into the road from a boarding or dividing island,another situation
303,2100189221,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
304,2100189283,man,good no adverse circumstances were found,Side impact,pedestrian entering on the STOP signal
305,2100189339,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
306,2100189389,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder","walking, standing on the pavement"
307,2100189393,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
308,2100189441,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
309,2100189447,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
310,2100189468,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
311,2100189474,another group,not detected,,crossing just in front of or behind a vehicle at a bus stop
312,2100189477,Woman,good no adverse circumstances were found,sudden change in walking direction,another situation
313,2100189482,Woman,good no adverse circumstances were found,,another situation
314,2100189557,another group,not detected,,another situation
315,2100189585,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
316,2100189659,Woman,good no adverse circumstances were found,,crossing at a marked crossing
317,2100189671,another group,not detected,,crossing at a marked crossing
318,2100189680,man,"inattention, distraction",sudden entry into the road from a boarding or dividing island,Crossing outside the crossing (20 metres or more from the crossing)
319,2100189701,another group,not detected,,another situation
320,2100189703,Woman,good no adverse circumstances were found,sudden entry into the road from a boarding or dividing island,pedestrian entering on the STOP signal
321,2100189704,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
322,2100189771,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
323,2100189777,man,not detected,,another situation
324,2100189799,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entry on the signal FREE
325,2100189814,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
326,2100189966,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
327,2100189976,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
328,3100180044,child (up to 15 years),good no adverse circumstances were found,sudden change in walking direction,"walking, standing on the pavement"
329,3100180090,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
330,3100180093,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
331,3100180115,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,crossing at a marked crossing
332,3100180117,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
333,3100180120,man,not detected,,another situation
334,3100180216,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
335,3100180218,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
336,3100180258,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
337,3100180274,man,not detected,,crossing at a marked crossing
338,3100180310,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
339,3100180334,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,pedestrian entry on the signal FREE
340,3100180383,Woman,not detected,,crossing at a marked crossing
341,3100180410,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
342,3100180506,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
343,3100180558,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
344,3100180585,another group,not detected,,another situation
345,3100180614,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
346,3100180640,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
347,3100180650,another group,not detected,,another situation
348,3100180678,man,good no adverse circumstances were found,,another situation
349,3100180685,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
350,3100180710,Woman,good no adverse circumstances were found,,another situation
351,3100180734,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
352,3100181011,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
353,3100181128,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
354,3100181147,child (up to 15 years),good no adverse circumstances were found,,another situation
355,3100181191,child (up to 15 years),"inattention, distraction",Side impact,another situation
356,3100181210,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,Side impact,another situation
357,3100181218,man,not detected,,walking on the right side
358,3100181260,another group,not detected,,another situation
359,3100181401,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",another situation
360,3100181409,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
